#;   
#;  IMD Data#
#;   
#;  Saved on Thu Jun 29 20:08:35 2023#
#;   
#;  Structure: 
#;   
#;  Pt layer (1), rho=21.450 g/cm3, z=300.00 A, sigma=4.00 A
#;  Si substrate, rho=2.330 g/cm3, sigma=4.00 A
#;   
#;  
#;   
#;  E=8.048 keV
#;   
#;  Theta [deg] 	R
       0.0000000       0.99999971
     0.020000000       0.99314246
     0.040000000       0.98630839
     0.060000000       0.97947366
     0.080000000       0.97261423
      0.10000000       0.96570543
      0.12000000       0.95872155
      0.14000000       0.95163531
      0.16000000       0.94441727
      0.18000000       0.93703516
      0.20000000       0.92945303
      0.22000000       0.92163025
      0.24000000       0.91352015
      0.26000000       0.90506837
      0.28000000       0.89621060
      0.30000000       0.88686960
      0.32000000       0.87695105
      0.34000000       0.86633787
      0.36000000       0.85488186
      0.38000000       0.84239157
      0.40000000       0.82861377
      0.42000000       0.81320437
      0.44000000       0.79568066
      0.46000000       0.77533954
      0.48000000       0.75110901
      0.50000000       0.72126166
      0.52000000       0.68282434
      0.54000000       0.63031153
      0.56000000       0.55334460
      0.58000000       0.43798650
      0.60000000       0.31004433
      0.62000000       0.23317864
      0.64000000       0.15120997
      0.66000000       0.10866612
      0.68000000       0.11315143
      0.70000000      0.090325115
      0.72000000      0.049498892
      0.74000000      0.037951536
      0.76000000      0.051548082
      0.78000000      0.053435396
      0.80000000      0.035069914
      0.82000000      0.016478543
      0.84000000      0.014930556
      0.86000000      0.024570307
      0.88000000      0.028909714
      0.90000000      0.021791396
      0.92000000      0.010463325
      0.94000000     0.0052703826
      0.96000000     0.0087034532
      0.98000000      0.014420520
       1.0000000      0.015447453
       1.0200000      0.010735122
       1.0400000     0.0046982992
       1.0600000     0.0022598599
       1.0800000     0.0043541823
       1.1000000     0.0077971578
       1.1200000     0.0088969947
       1.1400000     0.0066823390
       1.1600000     0.0031563267
       1.1800000     0.0011240806
       1.2000000     0.0017390546
       1.2200000     0.0038076234
       1.2400000     0.0051750083
       1.2600000     0.0046339950
       1.2800000     0.0027067925
       1.3000000    0.00094717283
       1.3200000    0.00056164993
       1.3400000     0.0015088722
       1.3600000     0.0027229202
       1.3800000     0.0031061333
       1.4000000     0.0023749173
       1.4200000     0.0011458460
       1.4400000    0.00033457795
       1.4600000    0.00041828241
       1.4800000     0.0011349828
       1.5000000     0.0017887808
       1.5200000     0.0018357979
       1.5400000     0.0012651147
       1.5600000    0.00052953102
       1.5800000    0.00014684993
       1.6000000    0.00030837453
       1.6200000    0.00078178395
       1.6400000     0.0011403399
       1.6600000     0.0011017604
       1.6800000    0.00071297045
       1.7000000    0.00027118465
       1.7200000    7.5606447e-05
       1.7400000    0.00021055583
       1.7600000    0.00051255000
       1.7800000    0.00072082096
       1.8000000    0.00067723831
       1.8200000    0.00042556021
       1.8400000    0.00015381685
       1.8600000    4.1833049e-05
       1.8800000    0.00013417382
       1.9000000    0.00032560128
       1.9200000    0.00045487558
       1.9400000    0.00042592172
       1.9600000    0.00026716322
       1.9800000    9.5692466e-05
       2.0000000    2.3781573e-05
       2.0200000    8.0530052e-05
       2.0400000    0.00020175480
       2.0600000    0.00028660513
       2.0800000    0.00027263628
       2.1000000    0.00017453549
       2.1200000    6.4285441e-05
       2.1400000    1.3980530e-05
       2.1600000    4.5642400e-05
       2.1800000    0.00012203622
       2.2000000    0.00017977576
       2.2200000    0.00017643011
       2.2400000    0.00011726572
       2.2600000    4.5749469e-05
       2.2800000    8.8838905e-06
       2.3000000    2.4350306e-05
       2.3200000    7.1873714e-05
       2.3400000    0.00011178217
       2.3600000    0.00011462274
       2.3800000    8.0119076e-05
       2.4000000    3.3805496e-05
       2.4200000    6.3995312e-06
       2.4400000    1.2137356e-05
       2.4600000    4.1017859e-05
       2.4800000    6.8562022e-05
       2.5000000    7.4270112e-05
       2.5200000    5.5111115e-05
       2.5400000    2.5466846e-05
       2.5600000    5.2316323e-06
       2.5800000    5.6066559e-06
       2.6000000    2.2528004e-05
       2.6200000    4.1266070e-05
       2.6400000    4.7707594e-05
       2.6600000    3.7846280e-05
       2.6800000    1.9270045e-05
       2.7000000    4.6180135e-06
       2.7200000    2.4143786e-06
       2.7400000    1.1798052e-05
       2.7600000    2.4236762e-05
       2.7800000    3.0214442e-05
       2.8000000    2.5768007e-05
       2.8200000    1.4482899e-05
       2.8400000    4.1590595e-06
       2.8600000    1.0449124e-06
       2.8800000    5.8182951e-06
       2.9000000    1.3805374e-05
       2.9200000    1.8771267e-05
       2.9400000    1.7296135e-05
       2.9600000    1.0725689e-05
       2.9800000    3.6853691e-06
       3.0000000    5.7720310e-07
       3.0200000    2.6557924e-06
       3.0400000    7.5716871e-06
       3.0600000    1.1384169e-05
       3.0800000    1.1391347e-05
       3.1000000    7.7832309e-06
       3.1200000    3.1581857e-06
       3.1400000    4.9027893e-07
       3.1600000    1.0968522e-06
       3.1800000    3.9631159e-06
       3.2000000    6.7061004e-06
       3.2200000    7.3312897e-06
       3.2400000    5.5122946e-06
       3.2600000    2.6004919e-06
       3.2800000    5.1669984e-07
       3.3000000    4.0216165e-07
       3.3200000    1.9563898e-06
       3.3400000    3.8161948e-06
       3.3600000    4.5933702e-06
       3.3800000    3.7988820e-06
       3.4000000    2.0541630e-06
       3.4200000    5.3911073e-07
       3.4400000    1.3929108e-07
       3.4600000    8.9585396e-07
       3.4800000    2.0844847e-06
       3.5000000    2.7913476e-06
       3.5200000    2.5414802e-06
       3.5400000    1.5569867e-06
       3.5600000    5.2135677e-07
       3.5800000    6.8800629e-08
       3.6000000    3.7135035e-07
       3.6200000    1.0840795e-06
       3.6400000    1.6387055e-06
